ID,Age_group,ave_adj pumps,ave_RT_all_pumps,percentage_exploded_balloons,total_win_balloons,MI_Decision,MI_Reward,MI_Risk,Age_Continuous
16-07-28.2CBD,C,3.186046512,0.1928379,0.289256198,86,3.09E-01,2.51E-01,3.20E-01,11.46849315
16-07-28.3CBD,C,3.738461538,0.321243402,0.263157895,65,8.27E-02,1.71E-01,2.50E-01,9.860273973
16-07-28.4CBD,C,3.660550459,0.198513825,0.106557377,109,3.41E-01,1.52E-01,3.41E-01,9.665753425
16-07-29.1CBD,C,4.416666667,0.402190341,0.285714286,60,4.23E-01,2.89E-01,2.58E-01,11.38082192
16-07-30.1CBD,C,4.274509804,0.459775974,0.273972603,51,2.26E-01,1.26E-01,4.03E-01,11.59726027
16-07-31.1CBD,C,3.125,0.248305949,0.103448276,104,1.99E-01,2.69E-01,5.06E-01,11.32054795
16-07-31.2CBD,C,4.244897959,0.129592453,0.257575758,98,2.87E-01,1.66E-01,2.25E-01,11.34794521
16-08-04.1CBD,C,3.954545455,0.392883582,0.247191011,66,1.60E-01,2.64E-01,3.65E-01,9.194520548
16-08-04.3CBD,C,2.235772358,0.278825342,0.068181818,123,2.17E-01,2.44E-01,4.32E-01,10.15616438
16-08-06.1CBD,C,5,0.313818182,0.295454545,59,1.91E-01,1.37E-01,3.41E-01,11.94246575
16-08-06.2CBD,C,4.736111111,0.307883951,0.191011236,72,1.65E-01,3.03E-01,3.95E-01,11.95342466
16-08-06.3CBD,C,3.948979592,0.190995585,0.183333333,98,1.43E-01,1.46E-01,3.94E-01,9.512328767
16-08-06.5CBD,C,3.70212766,0.7287,0.142857143,47,2.31E-01,2.06E-01,4.63E-01,8.882191781
16-08-07.1CBD,C,3.44,0.494272109,0.117647059,75,2.43E-01,4.26E-01,5.34E-01,9.805479452
16-08-07.3CBD,C,4.137254902,0.390514535,0.34939759,51,1.11E-01,2.33E-01,3.84E-01,8.98630137
16-08-08.2CBD,C,1.738095238,0.747447368,0.033707865,84,-7.05E-02,2.49E-01,5.15E-01,8.756164384
16-08-09.1CBD,C,5.12,0.59132342,0.438596491,25,2.17E-02,2.13E-01,2.79E-01,9.082191781
16-08-09.2CBD,C,3.79245283,0.464967153,0.118421053,53,1.26E-01,6.38E-02,3.32E-01,9.493150685
16-08-11.1CBD,C,1.382352941,0.63388,0.046296296,102,1.12E-01,6.51E-02,2.32E-01,7.849315068
16-08-12.1CBD,C,5.107142857,0.292136574,0.356321839,56,2.97E-01,3.00E-01,3.08E-01,10.92054795
16-08-12.2CBD,C,4.794871795,0.517429553,0.382352941,39,2.05E-01,1.69E-01,1.68E-01,10.91780822
16-08-13.1CBD,C,3.505882353,0.420150602,0.12371134,85,3.08E-01,1.73E-01,2.86E-01,8.901369863
16-08-13.2CBD,C,2.905882353,0.514950758,0.044444444,85,-1.11E-02,6.23E-03,1.79E-01,8.484931507
16-08-14.1CBD,C,1.987341772,0.79246988,0.05952381,79,3.28E-01,3.29E-01,2.71E-01,7.024657534
16-08-14.3CBD,C,4.578947368,0.181361004,0.35042735,76,1.17E-01,2.95E-01,3.60E-01,11.03835616
16-08-14.4CBD,C,3.971698113,0.182878914,0.14516129,106,3.23E-01,4.60E-01,5.69E-01,9.068493151
16-08-15.1CBD,C,4.189873418,0.237145414,0.266055046,79,1.11E-01,1.86E-01,3.08E-01,10.40273973
16-08-15.2CBD,C,3.96,0.401852071,0.157303371,75,-4.59E-02,2.75E-01,3.00E-01,10.6
16-08-17.1CBD,C,1.643478261,0.409211055,0.040983607,115,1.18E-01,4.56E-01,3.43E-01,9.090410959
16-08-17.3CBD,C,4.428571429,0.549889632,0.373134328,42,1.42E-01,1.94E-01,2.23E-01,7.060273973
16-08-19.2CBD,C,3.581081081,0.510851351,0.108433735,74,1.76E-01,2.75E-01,3.09E-01,9.564383562
16-08-19.3CBD,C,3.25,0.247970509,0.189655172,92,3.10E-01,1.49E-01,1.42E-01,9.531506849
16-08-20.1CBD,C,4.209876543,0.233864989,0.27027027,81,4.50E-01,2.22E-01,3.99E-01,10.4630137
16-08-20.3CBD,C,2.944954128,0.26819943,0.089430894,109,2.71E-01,8.98E-02,3.00E-01,8.087671233
16-08-20.4CBD,C,4.75862069,0.443702341,0.454545455,29,1.43E-01,-8.84E-02,3.39E-02,8.506849315
16-08-21.1CBD,C,2.534351145,0.228516949,0.064285714,131,1.72E-02,2.63E-01,3.16E-01,9.942465753
16-08-21.2CBD,C,5.031746032,0.21198152,0.382352941,63,2.20E-01,3.22E-01,3.61E-01,11.50684932
16-08-21.3CBD,C,3.741071429,0.14903112,0.182481752,112,2.02E-01,1.70E-01,3.12E-01,8.317808219
16-08-21.4CBD,C,3.5375,0.37240597,0.183673469,80,8.80E-02,3.55E-01,3.69E-01,8.452054795
16-08-23.1CBD,C,1.44,0.557861635,0.018518519,100,1.61E-01,3.05E-01,2.03E-01,7.317808219
16-08-23.2CBD,C,3.420289855,0.504007117,0.12195122,69,2.87E-01,1.01E-01,2.20E-01,8.24109589
16-08-25.1CBD,C,2.32,0.558586538,0.058139535,75,3.11E-01,1.36E-01,1.37E-01,9.476712329
16-08-25.2CBD,C,3.75,0.143130346,0.259259259,100,3.87E-01,3.58E-01,5.01E-01,11.08493151
